Slow cooker beef brisket|Mustard seeds instead of powder|3|5|https://www.recipetineats.com/slow-cooker-beef-brisket-with-bbq-sauce/|Beef
Slow cooker beef stroganoff|Mashed potato on the side |4|4|https://www.recipetineats.com/slow-cooker-beef-stroganoff/|Beef
Sausage bake with gravy|White onions instead of red|5|4|https://www.recipetineats.com/one-pan-sausage-and-vegetable-bake-with-gravy/|Beef
Moroccan meatballs|Beef instead of lamb, served with Greek lemon pilaf (see below) |4|5|https://www.recipetineats.com/moroccan-lamb-meatballs/|Beef
Lemon pilaf|Add feta, served with Moroccan meatballs, butter (not oil)|4|5|https://www.recipetineats.com/greek-lemon-rice/|Beef
Beef steak marinade|For CHEAP STEAK only, amazing! |5|5|https://www.recipetineats.com/beef-steak-marinade/|Beef
Swedish meatballs|50/50 pork and beef, sour cream instead of cream |5|3|https://www.recipetineats.com/swedish-meatballs/|Beef
Hamburgers|Served on brioche with mustard, tomato sauce, pickles, onions, swiss cheese|4|5|https://www.recipetineats.com/hamburger-recipe/|Beef
Chicken and creamy mushroom sauce|Thigh instead of breast, regular shredded parmesan, |5|4|https://www.recipetineats.com/chicken-breast-in-creamy-mushroom-sauce/|Chicken
Chicken tetrazzini|Used milk instead of cream |5|5|https://www.recipetineats.com/chicken-tetrazzini-pasta-bake/|Chicken
Mediterranean baked chicken dinner|Used white onions instead of red|4|4|https://www.recipetineats.com/mediterranean-baked-chicken-dinner/|Chicken
Chicken pad thai|Spring onions and garlic instead of garlic chives |4|5|https://www.recipetineats.com/chicken-pad-thai/|Chicken
Chicken adobo|Yummy, but flavour balance could be played with more|3|4|https://www.recipetineats.com/filipino-chicken-adobo-flavour-kapow/|Chicken
Pad See Ew|Used normal soy sauce and bok choy|4|5|https://www.recipetineats.com/thai-stir-fried-noodles-pad-see-ew/|Chicken
Honey Mustard chicken drumsticks|Flour instead of cornflour |4|4|https://www.recipetineats.com/honey-mustard-baked-chicken-drumsticks/|Chicken
Cream of chicken soup|No carrots and extra celery, extra garlic|3|3|https://www.recipetineats.com/homemade-cream-chicken-soup/|Chicken
Chicken sharwama|Remove germ from garlic to avoid spiciness|5|2|https://www.recipetineats.com/chicken-sharwama-middle-eastern/|Chicken
Baked sharwama pilaf|1 cinnamon stick, no raisins, |4|4|https://www.recipetineats.com/one-skillet-baked-chicken-shawarma-and-rice-pilaf/|Chicken
Lemon garlic roast chicken|Cook at 210 instead of 230 |4|5|https://cafedelites.com/lemon-garlic-roast-chicken/|Chicken
Satay Chicken|Larissa-friendly version (almond butter, goat milk) |4|4|https://www.recipetineats.com/thai-chicken-satay-peanut-sauce/|Chicken
Thai fried rice|Great side dish to satay|4|4|https://www.recipetineats.com/thai-chicken-fried-rice/|Chicken
Butter chicken|Not quite happy with it yet, colour wrong and slightly too spicy|4|3|https://cafedelites.com/butter-chicken/|Chicken
Biryani|Used fake saffron, still great|5|4|https://www.recipetineats.com/biryani/|Chicken
Banh Mi with meatballs (below)|Sriracha sauce instead of chilli |4|5|https://www.recipetineats.com/banh-mi-vietnamese-sandwich/|Pork
Bahn mi meatballs|Also good with rice and sauce |5|5|https://www.recipetineats.com/vietnamese-pork-meatballs-banh-mi/|Pork
Pulled pork|Used half BBQ and half tomato sauce |4|5|https://www.recipetineats.com/pulled-pork-with-bbq-sauce/|Pork
Carnitas|Add more spices next time|4|4|https://www.recipetineats.com/pork-carnitas-mexican-slow-cooker-pulled-pork/|Pork
Sausage and egg mcmuffin|Used more spices |4|4|https://www.recipetineats.com/homemade-sausage-egg-mcmuffin/|Pork
Pork roast with crackling |yummy as is|5|5|https://www.recipetineats.com/pork-shoulder-roast-with-crispy-crackling/|Pork
Greek roasted lamb|Needs more flavour|4|4|https://www.recipetineats.com/greek-slow-roasted-leg-of-lamb/|Lamb
lamb chops with rosemary gravy||4|4|https://www.recipetineats.com/lamb-chops-with-rosemary-gravy/|Lamb
Salmon quiche|Cheddar instead of gruyere cheese |3|5|https://www.recipetineats.com/salmon-quiche/|Fish
Salmon mornay pasta bake|Yum|4|4|https://theorganisedhousewife.com.au/recipes/salmon-mornay/|Fish
Herring linguine|Chilli flakes instead of fresh chilli |4|4|https://www.jamieoliver.com/recipes/pasta-recipes/mediterranean-style-herring-linguine/|Fish
Brazilian fish stew|YUMMY, chicken stock instead of fish, used frozen fish|5|5|https://www.recipetineats.com/brazilian-fish-stew-moqueca-baiana/|Fish
Pesto pasta|Cherry tomatoes, 500g pasta, bacon, peas; sub lemon for 1tbsp oil, use cashews, any leaves|5|5|https://www.recipetineats.com/pesto/|
Pizza dough||5|5|https://www.recipetineats.com/pizza-dough-recipe/|
Pizza toppings|Tried prosciutto and rocket|5|5|https://www.recipetineats.com/pizza-toppings/|
Baked Beans|1/4 cup BBQ sauce, 1/4 tomato, 1/4 HP sauce; no bacon|4|4|https://www.recipetineats.com/homemade-baked-beans-bacon-southern-style/|Vegetarian
Mushroom galette|Swiss instead of gruyere|5|4|https://themodernproper.com/wild-mushroom-galette|Vegetarian
Mushroom pasta|Used extra garlic (double)|4|4|https://www.recipetineats.com/mushroom-pasta/|Vegetarian
